Total Nacional;Municipios;Indicadores;Sexo;Periodo;Total
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2012;4,46
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2011;5,31
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2010;5,22
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2023;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2022;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2021;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2020;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2019;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2018;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2017;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2016;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2015;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2014;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2013;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2012;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2011;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2010;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2023;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2022;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2021;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2020;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2019;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2018;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2017;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2016;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2015;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2014;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2013;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2012;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2011;""
Total Nacional;Oviedo;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2010;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2022;36.134,32
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2021;34.379,49
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2020;33.415,5
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2019;33.861,31
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2018;32.684,07
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2017;31.950,74
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2016;31.372,66
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2015;31.054,35
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2014;30.263,81
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2013;30.045,22
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2012;31.012,4
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2011;32.846,76
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Total;2010;..
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2023;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2022;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2021;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2020;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2019;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2018;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2017;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2016;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2015;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2014;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2013;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2012;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2011;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Mujeres;2010;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2023;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2022;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2021;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2020;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2019;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2018;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2017;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2016;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2015;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2014;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2013;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2012;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2011;""
Total Nacional;Oviedo;Renta neta media anual de los hogares (Euros);Hombres;2010;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2023;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2022;16.027,88
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2021;15.247,09
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2020;14.657,14
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2019;14.706,03
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2018;14.161,73
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2017;13.704,28
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2016;13.383,67
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2015;13.178,82
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2014;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2013;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2012;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2011;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Total;2010;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2023;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2022;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2021;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2020;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2019;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2018;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2017;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2016;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2015;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2014;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2013;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2012;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2011;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Mujeres;2010;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2023;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2022;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2021;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2020;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2019;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2018;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2017;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2016;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2015;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2014;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2013;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2012;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2011;""
Total Nacional;Oviedo;Renta neta media anual por habitante (Euros);Hombres;2010;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2023;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2022;22.866,77
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2021;21.765,66
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2020;21.005,75
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2019;21.164,93
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2018;20.405,99
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2017;19.815,81
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2016;19.387,93
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2015;19.119,72
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2014;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2013;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2012;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2011;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Total;2010;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2023;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2022;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2021;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2020;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2019;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2018;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2017;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2016;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2015;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2014;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2013;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2012;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2011;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Mujeres;2010;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2023;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2022;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2021;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2020;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2019;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2018;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2017;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2016;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2015;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2014;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2013;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2012;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2011;""
Total Nacional;Oviedo;Renta neta media anual por unidad de consumo (Euros);Hombres;2010;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2023;10,48
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2022;10,46
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2021;10,88
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2020;12,72
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2019;11,41
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2018;13,3
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2017;15,43
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2016;16,83
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2015;22,4
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2014;24,05
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2013;23,69
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2012;20,61
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2011;19,21
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Total;2010;16,58
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2023;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2022;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2021;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2020;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2019;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2018;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2017;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2016;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2015;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2014;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2013;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2012;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2011;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Mujeres;2010;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2023;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2022;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2021;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2020;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2019;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2018;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2017;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2016;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2015;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2014;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2013;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2012;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2011;""
Total Nacional;Palencia;Tasa de desempleo (Porcentaje);Hombres;2010;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2023;90,15
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2022;89,86
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2021;89,08
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2020;87,37
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2019;88,45
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2018;86,71
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2017;84,3
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2016;83,36
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2015;77,69
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2014;76,2
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2013;76,49
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2012;79,24
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2011;80,97
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2010;83,69
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2023;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2022;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2021;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2020;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2019;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2018;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2017;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2016;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2015;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2014;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2013;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2012;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2011;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2010;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2023;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2022;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2021;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2020;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2019;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2018;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2017;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2016;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2015;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2014;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2013;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2012;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2011;""
Total Nacional;Palencia;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2010;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2023;53,6
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2022;53,5
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2021;53,01
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2020;52,94
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2019;53,2
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2018;53,69
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2017;52,77
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2016;54,7
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2015;55,39
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2014;54,54
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2013;54,65
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2012;54,67
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2011;55,49
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Total;2010;55,79
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2023;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2022;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2021;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2020;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2019;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2018;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2017;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2016;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2015;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2014;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2013;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2012;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2011;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Mujeres;2010;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2023;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2022;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2021;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2020;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2019;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2018;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2017;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2016;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2015;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2014;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2013;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2012;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2011;""
Total Nacional;Palencia;Tasa de actividad (Porcentaje);Hombres;2010;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2023;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2022;83,19
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2021;82,16
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2020;82,8
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2019;83,07
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2018;82,97
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2017;85,62
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2016;86,23
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2015;86,38
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2014;86,21
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2013;82,63
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2012;84,48
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2011;82,09
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2010;81,28
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2023;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2022;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2021;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2020;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2019;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2018;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2017;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2016;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2015;""
Total Nacional;Palencia;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2014;""
